[30-40),Work-class, 77516, 4, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, 0
[40-50),Work-class, 292175, 3, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States, 1
[40-50),Work-class, 193524, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, 1
[50-60),Work-class, 302146, 8, 9, Separated, Other-service, Unmarried, Black, Female, 0, 0, 20, United-States, 0
[30-40),Work-class, 76845, 12, 5, Married-civ-spouse, Farming-fishing, Husband, Black, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 117037, 10, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 2042, 40, United-States, 0
[50-60),Work-class, 109015, 8, 9, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, 0
[50-60),Work-class, 216851, 4, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, 1
[10-20),Work-class, 168294, 8, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 367260, 8, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 80, United-States, 0
[40-50),Work-class, 193366, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 190709, 6, 12, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 52, United-States, 0
[20-30),Work-class, 266015, 7, 10, Never-married, Sales, Own-child, Black, Male, 0, 0, 44, United-States, 0
[40-50),Work-class, 386940, 4, 13, Divorced, Exec-managerial, Own-child, White, Male, 0, 1408, 40, United-States, 0
[30-40),Work-class, 59951, 7, 10, Married-civ-spouse, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 311512, 7, 10, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 15, United-States, 0
[40-50),Work-class, 242406, 10, 7, Never-married, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, Puerto-Rico, 0
[20-30),Work-class, 197200, 7, 10, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, 0
[10-20),Work-class, 544091, 8, 9, Married-AF-spouse, Adm-clerical, Wife, White, Female, 0, 0, 25, United-States, 0
[40-50),Work-class, 265477, 6, 12, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 507875, 12, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 43, United-States, 0
[50-60),Work-class, 88506, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 172987, 4, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, 0
[40-50),Work-class, 94638, 8, 9, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 289980, 8, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 35, United-States, 0
[50-60),Work-class, 337895, 4, 13, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 40, United-States, 1
[50-60),Work-class, 144361, 8, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 38, United-States, 0
[40-50),Work-class, 128354, 3, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 101603, 5, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 271466, 5, 11, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 43, United-States, 0
[20-30),Work-class, 32275, 7, 10, Married-civ-spouse, Exec-managerial, Wife, Other, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 51835, 2, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1902, 60, Honduras, 1
[50-60),Work-class, 251585, 4, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, 1
[40-50),Work-class, 109832, 8, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, 0
[40-50),Work-class, 237993, 7, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, 1
[40-50),Work-class, 216666, 14, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, 0
[30-40),Work-class, 56352, 5, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Puerto-Rico, 0
[40-50),Work-class, 147372, 8, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 48, United-States, 0
[30-40),Work-class, 188146, 8, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 5013, 0, 40, United-States, 0
[30-40),Work-class, 59496, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 2407, 0, 40, United-States, 0
[40-50),Work-class, 149640, 8, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 116632, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, 1
[20-30),Work-class, 105598, 7, 10, Divorced, Tech-support, Not-in-family, White, Male, 0, 0, 58, United-States, 0
[30-40),Work-class, 155537, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 183175, 7, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[50-60),Work-class, 169846, 8, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, 1
[40-50),Work-class, 191681, 7, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, 1
[10-20),Work-class, 101509, 7, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 32, United-States, 0
[30-40),Work-class, 309974, 4, 13, Separated, Sales, Own-child, Black, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 162298, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, 1
[20-30),Work-class, 211678, 7, 10, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[70-80),Work-class, 124744, 7, 10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, 0, 0, 20, United-States, 0
[20-30),Work-class, 213921, 8, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, Mexico, 0
[40-50),Work-class, 32214, 6, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, 0
[10-20),Work-class, 309634, 10, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 22, United-States, 0
[30-40),Work-class, 125927, 13, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, 0
[10-20),Work-class, 446839, 8, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 30, United-States, 0
[50-60),Work-class, 276515, 4, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Cuba, 0
[40-50),Work-class, 51618, 8, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, 0
[50-60),Work-class, 159937, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, 0
[40-50),Work-class, 343591, 8, 9, Divorced, Craft-repair, Not-in-family, White, Female, 14344, 0, 40, United-States, 1
[50-60),Work-class, 346253, 8, 9, Divorced, Sales, Own-child, White, Female, 0, 0, 35, United-States, 0
[40-50),Work-class, 268234, 8, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, 1
[30-40),Work-class, 202051, 3, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, 0
[30-40),Work-class, 54334, 12, 5, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 410867, 1, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, 1
[50-60),Work-class, 249977, 5, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 286730, 7, 10, Divorced, Craft-repair, Unmarried, White, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 212563, 7, 10, Divorced, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 25, United-States, 0
[30-40),Work-class, 226296, 4, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, 1
[20-30),Work-class, 115585, 7, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 50, United-States, 0
[40-50),Work-class, 191277, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 60, United-States, 1
[30-40),Work-class, 202683, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, 1
[40-50),Work-class, 171095, 6, 12, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, England, 0
[30-40),Work-class, 249409, 8, 9, Never-married, Other-service, Own-child, Black, Male, 0, 0, 40, United-States, 0
[70-80),Work-class, 124191, 3, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, 1
[40-50),Work-class, 198282, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 60, United-States, 1
[40-50),Work-class, 149116, 3, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, 0
[20-30),Work-class, 188300, 7, 10, Never-married, Tech-support, Own-child, White, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 103432, 8, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 317660, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 7688, 0, 40, United-States, 1
[30-40),Work-class, 194901, 10, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 189265, 8, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 124692, 8, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 432376, 4, 13, Never-married, Sales, Other-relative, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 65324, 2, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
[50-60),Work-class, 335605, 8, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 1887, 50, Canada, 1
[20-30),Work-class, 377869, 7, 10, Married-civ-spouse, Sales, Wife, White, Female, 4064, 0, 25, United-States, 0
[30-40),Work-class, 102864, 8, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States, 0
[50-60),Work-class, 95647, 12, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States, 0
[50-60),Work-class, 303090, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 0
[40-50),Work-class, 197371, 5, 11, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, 1
[50-60),Work-class, 247552, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 56, United-States, 0
[20-30),Work-class, 102632, 8, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 41, United-States, 0
[20-30),Work-class, 199915, 7, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 118853, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, 0
[30-40),Work-class, 77143, 4, 13, Never-married, Exec-managerial, Own-child, Black, Male, 0, 0, 40, Germany, 0
[20-30),Work-class, 267989, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, 1
[10-20),Work-class, 301606, 7, 10, Never-married, Other-service, Own-child, Black, Male, 0, 0, 35, United-States, 0
[40-50),Work-class, 287828, 4, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, 1
[20-30),Work-class, 111697, 7, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 1719, 28, United-States, 0
[30-40),Work-class, 114937, 6, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, 1
[30-40),Work-class, 365739, 7, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 69621, 6, 12, Never-married, Sales, Not-in-family, White, Female, 0, 0, 60, United-States, 0
[20-30),Work-class, 43323, 8, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 1762, 40, United-States, 0
[30-40),Work-class, 120985, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 4386, 0, 35, United-States, 0
[30-40),Work-class, 254202, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 0
[40-50),Work-class, 146195, 6, 12, Divorced, Tech-support, Not-in-family, Black, Female, 0, 0, 36, United-States, 0
[30-40),Work-class, 125933, 3, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, Iran, 1
[40-50),Work-class, 56920, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, 0
[20-30),Work-class, 163127, 5, 11, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, 0
[20-30),Work-class, 34310, 7, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 20, United-States, 0
[40-50),Work-class, 81973, 7, 10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, 1
[60-70),Work-class, 66614, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 232782, 7, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, 0
[10-20),Work-class, 316868, 7, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 30, Mexico, 0
[40-50),Work-class, 196584, 5, 11, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1564, 40, United-States, 1
[70-80),Work-class, 105376, 7, 10, Never-married, Tech-support, Other-relative, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 185814, 8, 9, Never-married, Transport-moving, Unmarried, Black, Female, 0, 0, 30, United-States, 0
[20-30),Work-class, 175374, 7, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 24, United-States, 0
[30-40),Work-class, 108293, 8, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 24, United-States, 0
[60-70),Work-class, 181232, 10, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2179, 40, United-States, 0
[40-50),Work-class, 186009, 7, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, Mexico, 0
[30-40),Work-class, 198183, 8, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 163003, 4, 13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, 0
[20-30),Work-class, 296158, 8, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 35, United-States, 0
[40-50),Work-class, 187715, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 46, United-States, 0
[20-30),Work-class, 214542, 4, 13, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[70-80),Work-class, 494223, 7, 10, Separated, Sales, Unmarried, Black, Male, 0, 1816, 2, United-States, 0
[20-30),Work-class, 191535, 8, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, 0
[40-50),Work-class, 228456, 4, 13, Separated, Other-service, Other-relative, Black, Male, 0, 0, 50, United-States, 0
[20-30),Work-class, 252752, 8, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 78374, 3, 14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 88419, 8, 9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, England, 0
[40-50),Work-class, 201080, 3, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, 1
[30-40),Work-class, 207157, 7, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, Mexico, 0
[30-40),Work-class, 235485, 6, 12, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 42, United-States, 0
[40-50),Work-class, 102628, 3, 14, Widowed, Protective-serv, Unmarried, White, Male, 0, 0, 40, United-States, 0
[10-20),Work-class, 25828, 10, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 16, United-States, 0
[60-70),Work-class, 54826, 5, 11, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States, 0
[20-30),Work-class, 124953, 8, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 1980, 40, United-States, 0
[20-30),Work-class, 175325, 8, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 96062, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 40, United-States, 1
[20-30),Work-class, 428030, 4, 13, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, 0
[20-30),Work-class, 149624, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
[20-30),Work-class, 253814, 8, 9, Married-spouse-absent, Sales, Unmarried, White, Female, 0, 0, 25, United-States, 0
[20-30),Work-class, 312956, 8, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 483777, 8, 9, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States, 0
[10-20),Work-class, 183930, 8, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 12, United-States, 0
[30-40),Work-class, 37274, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 65, United-States, 0
[40-50),Work-class, 181344, 7, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 38, United-States, 1
[40-50),Work-class, 114580, 7, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 633742, 7, 10, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 45, United-States, 0
[40-50),Work-class, 286370, 13, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, 1
[30-40),Work-class, 29054, 7, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 42, United-States, 1
[30-40),Work-class, 304030, 8, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 143129, 4, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 99928, 3, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 50, United-States, 0
[50-60),Work-class, 109567, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 1, United-States, 1
[30-40),Work-class, 155222, 7, 10, Divorced, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 28, United-States, 0
[20-30),Work-class, 159567, 7, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 523910, 4, 13, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 120939, 7, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 45, United-States, 0
[40-50),Work-class, 130760, 4, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 24, United-States, 0
[20-30),Work-class, 197387, 14, 3, Married-civ-spouse, Transport-moving, Other-relative, White, Male, 0, 0, 40, Mexico, 0
[30-40),Work-class, 99374, 7, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 56795, 3, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 14084, 0, 55, United-States, 1
[30-40),Work-class, 138992, 3, 14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, 7298, 0, 40, United-States, 1
[20-30),Work-class, 32921, 8, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 397317, 3, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1876, 40, United-States, 0
[50-60),Work-class, 259323, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, 1
[40-50),Work-class, 254817, 7, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1340, 40, United-States, 0
[30-40),Work-class, 48211, 8, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, 0
[10-20),Work-class, 140164, 10, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 128757, 4, 13, Married-civ-spouse, Other-service, Husband, Black, Male, 7298, 0, 36, United-States, 1
[30-40),Work-class, 36270, 8, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, 0
[50-60),Work-class, 210563, 8, 9, Married-civ-spouse, Sales, Wife, White, Female, 15024, 0, 35, United-States, 1
[10-20),Work-class, 65368, 10, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 12, United-States, 0
[40-50),Work-class, 160943, 8, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 208358, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 1
[30-40),Work-class, 153790, 7, 10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, 0
[60-70),Work-class, 85815, 8, 9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 125417, 13, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, 1
[30-40),Work-class, 635913, 4, 13, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 60, United-States, 1
[50-60),Work-class, 313321, 6, 12, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 182609, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, Poland, 0
[40-50),Work-class, 109434, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, 0
[20-30),Work-class, 255004, 11, 6, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 197860, 7, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, 0
[90-100),Work-class, 51744, 8, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 2206, 40, United-States, 0
[50-60),Work-class, 176681, 8, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 20, United-States, 0
[50-60),Work-class, 140359, 16, 1, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 35, United-States, 0
[10-20),Work-class, 243313, 8, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, 0
[60-70),Work-class, 167687, 8, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 1409, 0, 50, United-States, 0
[70-80),Work-class, 314209, 5, 11, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, Columbia, 0
[60-70),Work-class, 176796, 8, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 538583, 10, 7, Separated, Transport-moving, Not-in-family, Black, Male, 3674, 0, 40, United-States, 0
[40-50),Work-class, 130408, 8, 9, Divorced, Sales, Unmarried, Black, Female, 0, 0, 38, United-States, 0
[20-30),Work-class, 159732, 7, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 42, United-States, 0
[30-40),Work-class, 110978, 7, 10, Divorced, Craft-repair, Other-relative, Other, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 76714, 2, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 55, United-States, 1
[50-60),Work-class, 268700, 8, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 170525, 7, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, 0
[40-50),Work-class, 180138, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, Iran, 1
[30-40),Work-class, 115076, 3, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, 1
[20-30),Work-class, 115458, 8, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 347890, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
[40-50),Work-class, 196001, 8, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 20, United-States, 0
[20-30),Work-class, 273905, 6, 12, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 50, United-States, 0
