63, Federal-gov, Male 4
46, State-gov, Female 15
64, State-gov, Female 7
60, Federal-gov, Male 7
78, Self-emp-inc, Male 4
39, Local-gov, Male 34
55, Self-emp-not-inc, Female 13
60, Self-emp-inc, Female 1
66, Federal-gov, Male 1
75, Private, Female 6
48, Federal-gov, Male 15
40, State-gov, Female 17
45, Federal-gov, Female 5
84, Private, Male 2
35, Self-emp-not-inc, Male 70
42, State-gov, Female 15
59, Self-emp-inc, Female 1
54, Private, Male 190
45, Federal-gov, Male 27
31, Federal-gov, Female 7
32, State-gov, Male 20
38, Federal-gov, Female 11
59, State-gov, Female 2
55, Federal-gov, Male 12
59, Self-emp-inc, Male 15
24, Private, Male 409
59, Federal-gov, Female 6
56, Federal-gov, Male 13
80, Private, Female 4
71, Local-gov, Male 1
50, Self-emp-not-inc, Male 53
56, State-gov, Female 5
51, State-gov, Female 6
55, Self-emp-not-inc, Male 40
24, Self-emp-inc, Male 6
57, State-gov, Female 6
52, Federal-gov, Male 17
50, State-gov, Female 8
73, Federal-gov, Female 1
53, Federal-gov, Male 20
53, State-gov, Female 5
54, State-gov, Female 10
73, Self-emp-not-inc, Female 2
75, Self-emp-inc, Male 4
31, Self-emp-inc, Male 14
40, Self-emp-not-inc, Female 8
51, Private, Female 113
20, Federal-gov, Female 5
38, Federal-gov, Male 16
51, Local-gov, Male 41
58, Federal-gov, Female 3
35, Private, Female 184
81, Self-emp-inc, Female 1
25, Local-gov, Male 21
53, Local-gov, Female 22
35, Local-gov, Male 31
25, Private, Female 251
63, Self-emp-not-inc, Male 34
70, Private, Male 21
40, Private, Male 370
45, State-gov, Female 15
69, Self-emp-not-inc, Female 2
24, Local-gov, Female 14
57, Self-emp-not-inc, Male 43
86, Private, Female 1
40, Federal-gov, Female 14
21, Federal-gov, Male 3
18, Self-emp-inc, Male 4
36, Self-emp-not-inc, Female 13
65, Self-emp-inc, Male 11
47, Private, Male 291
36, State-gov, Female 22
34, Private, Male 445
17, Private, Male 159
19, Federal-gov, Female 4
64, Private, Male 54
30, Federal-gov, Male 11
62, Local-gov, Female 14
29, Federal-gov, Male 16
76, Private, Female 8
77, Private, Male 4
67, Without-pay, Male 1
48, Self-emp-inc, Female 2
41, Local-gov, Male 44
66, Private, Female 23
20, Local-gov, Male 7
19, Private, Female 265
41, Self-emp-not-inc, Male 57
77, Self-emp-not-inc, Female 1
27, State-gov, Female 9
27, Self-emp-not-inc, Male 33
79, Local-gov, Female 1
33, Self-emp-not-inc, Male 64
33, Self-emp-inc, Female 1
61, Self-emp-inc, Male 14
82, Self-emp-not-inc, Male 2
79, Self-emp-not-inc, Male 2
25, State-gov, Female 10
18, Self-emp-not-inc, Male 7
82, Private, Female 1
73, Self-emp-inc, Male 2
73, Local-gov, Female 1
81, Self-emp-not-inc, Female 2
55, Federal-gov, Female 4
18, Federal-gov, Male 2
41, Federal-gov, Female 7
22, Self-emp-not-inc, Female 2
71, Local-gov, Female 3
17, Self-emp-inc, Female 1
20, Self-emp-inc, Female 2
35, Self-emp-inc, Female 3
61, Local-gov, Male 13
71, Self-emp-inc, Male 3
18, Self-emp-not-inc, Female 6
46, Without-pay, Female 1
19, Self-emp-inc, Female 1
25, State-gov, Male 16
32, Self-emp-not-inc, Female 6
45, Local-gov, Male 38
31, Private, Female 212
76, Federal-gov, Female 1
53, State-gov, Male 19
56, State-gov, Male 7
29, Local-gov, Male 30
63, Self-emp-inc, Male 12
76, Local-gov, Male 2
22, State-gov, Male 13
72, Federal-gov, Female 2
69, Private, Female 18
55, Local-gov, Female 20
26, Local-gov, Female 20
66, Self-emp-inc, Female 1
44, Federal-gov, Female 9
51, Local-gov, Female 17
18, Private, Male 204
22, Local-gov, Female 11
37, State-gov, Male 20
62, Federal-gov, Female 3
48, Self-emp-not-inc, Male 45
60, Private, Female 50
69, Self-emp-inc, Male 5
30, Self-emp-not-inc, Female 7
48, Private, Male 236
20, Self-emp-not-inc, Male 7
34, Federal-gov, Female 3
78, Private, Male 3
79, Self-emp-not-inc, Female 1
63, Private, Male 71
82, Self-emp-inc, Male 2
33, Private, Male 450
41, State-gov, Male 26
17, Local-gov, Female 8
54, Self-emp-not-inc, Male 43
64, Local-gov, Female 5
68, Local-gov, Female 2
85, Self-emp-not-inc, Female 1
47, State-gov, Male 25
54, Local-gov, Male 23
36, Self-emp-not-inc, Male 57
67, Local-gov, Male 3
60, Local-gov, Female 5
59, Local-gov, Female 14
48, Self-emp-inc, Male 32
23, Federal-gov, Female 5
79, Private, Female 1
31, State-gov, Male 24
35, Self-emp-inc, Male 20
37, Federal-gov, Female 10
65, Federal-gov, Female 1
22, Private, Female 269
38, Local-gov, Male 40
50, Self-emp-inc, Male 38
66, State-gov, Male 2
51, Federal-gov, Female 7
33, Self-emp-inc, Male 13
26, Private, Male 396
56, Private, Male 155
48, Local-gov, Female 14
46, Local-gov, Female 28
67, Self-emp-inc, Male 10
47, Private, Female 152
73, Self-emp-inc, Female 1
57, Self-emp-inc, Female 1
76, Self-emp-not-inc, Male 6
84, Self-emp-inc, Male 1
42, Local-gov, Female 22
71, Private, Male 17
63, State-gov, Male 3
40, Local-gov, Female 21
44, Local-gov, Female 21
32, Local-gov, Male 30
41, Private, Male 374
19, Local-gov, Male 4
18, Self-emp-inc, Female 2
26, Self-emp-inc, Female 3
44, Private, Female 146
34, Self-emp-inc, Female 7
69, State-gov, Male 6
41, Private, Female 143
37, Local-gov, Female 24
28, Private, Female 226
31, Local-gov, Female 17
45, Self-emp-not-inc, Male 60
33, Local-gov, Female 19
60, Self-emp-not-inc, Male 39
39, Local-gov, Female 24
35, Local-gov, Female 8
50, Self-emp-inc, Female 2
26, State-gov, Female 11
42, Self-emp-inc, Male 27
49, Self-emp-inc, Female 4
28, Local-gov, Female 24
23, Self-emp-not-inc, Male 11
57, Local-gov, Female 13
38, Self-emp-not-inc, Female 9
28, State-gov, Male 19
27, Private, Female 230
75, Self-emp-not-inc, Male 13
68, Local-gov, Male 3
43, Private, Male 347
73, Private, Male 16
60, State-gov, Male 11
36, Self-emp-inc, Female 2
67, Federal-gov, Female 1
43, Local-gov, Male 34
28, Self-emp-not-inc, Male 42
40, Federal-gov, Male 14
72, Without-pay, Male 1
29, Federal-gov, Female 9
78, Local-gov, Male 1
17, Private, Female 139
37, Private, Female 160
23, Local-gov, Male 16
23, Self-emp-inc, Female 2
25, Federal-gov, Male 7
71, Self-emp-inc, Female 1
74, Private, Female 9
90, Local-gov, Male 4
75, State-gov, Male 1
50, Federal-gov, Female 6
28, Federal-gov, Male 9
66, Self-emp-inc, Male 9
70, State-gov, Male 1
72, Federal-gov, Male 1
68, Federal-gov, Female 2
33, Local-gov, Male 35
84, Private, Female 2
18, State-gov, Male 6
52, Self-emp-inc, Male 25
45, Self-emp-inc, Female 4
81, State-gov, Female 1
65, State-gov, Male 3
29, State-gov, Female 8
30, State-gov, Male 18
23, State-gov, Female 11
58, Self-emp-inc, Female 5
23, Self-emp-not-inc, Female 2
57, Private, Female 56
73, Local-gov, Male 4
48, Local-gov, Male 18
62, Self-emp-inc, Male 9
56, Self-emp-inc, Male 16
27, Federal-gov, Female 6
75, Local-gov, Female 1
67, Self-emp-not-inc, Male 22
53, Self-emp-not-inc, Male 38
62, Self-emp-not-inc, Male 22
33, State-gov, Male 28
44, Private, Male 328
74, Private, Male 8
75, Self-emp-not-inc, Female 2
69, Federal-gov, Female 1
53, Local-gov, Male 26
50, State-gov, Male 18
68, Private, Male 35
68, Self-emp-not-inc, Female 1
38, Private, Male 410
58, Self-emp-not-inc, Male 40
67, Self-emp-not-inc, Female 7
37, Self-emp-inc, Male 30
88, Self-emp-not-inc, Male 2
32, Self-emp-not-inc, Male 43
72, Self-emp-inc, Male 2
31, Self-emp-not-inc, Female 10
42, Private, Male 327
54, Private, Female 66
83, Self-emp-not-inc, Male 1
72, Private, Male 12
80, Local-gov, Female 1
46, Self-emp-inc, Male 25
28, Federal-gov, Female 6
24, Self-emp-not-inc, Female 5
27, Self-emp-inc, Female 4
48, State-gov, Male 17
37, Self-emp-not-inc, Male 69
22, Without-pay, Male 1
41, Self-emp-inc, Female 4
66, Self-emp-not-inc, Male 16
90, Federal-gov, Male 1
36, Federal-gov, Male 16
36, Private, Male 436
59, Self-emp-not-inc, Female 5
30, State-gov, Female 11
43, State-gov, Male 31
42, Private, Female 160
32, Federal-gov, Male 17
74, Self-emp-not-inc, Female 1
69, Private, Male 27
60, Local-gov, Male 14
18, State-gov, Female 3
39, Private, Male 383
52, Self-emp-not-inc, Female 4
66, Private, Male 41
47, State-gov, Female 7
37, Self-emp-not-inc, Female 12
63, State-gov, Female 1
26, Local-gov, Male 22
18, Local-gov, Male 7
34, Private, Female 185
61, Federal-gov, Male 6
40, Self-emp-inc, Female 4
65, Federal-gov, Male 2
20, Private, Male 309
32, Private, Female 189
28, Local-gov, Male 28
22, Federal-gov, Male 9
50, Private, Male 266
64, Federal-gov, Female 4
68, State-gov, Male 2
24, Private, Female 238
63, Self-emp-inc, Female 1
62, Without-pay, Female 1
49, Self-emp-not-inc, Male 48
26, Federal-gov, Female 5
84, Self-emp-not-inc, Male 1
65, Without-pay, Male 1
44, Self-emp-not-inc, Male 60
27, Self-emp-inc, Male 9
37, State-gov, Female 11
20, State-gov, Female 9
36, Local-gov, Male 38
61, Self-emp-not-inc, Male 28
34, State-gov, Female 14
33, State-gov, Female 7
73, State-gov, Female 2
21, Private, Male 315
26, Self-emp-inc, Male 7
81, Private, Male 5
51, Private, Male 252
80, Private, Male 4
61, Federal-gov, Female 5
79, Federal-gov, Male 1
54, Federal-gov, Female 4
57, Self-emp-inc, Male 30
35, Federal-gov, Male 15
62, Federal-gov, Male 3
65, Private, Male 51
55, Local-gov, Male 14
64, Private, Female 38
31, State-gov, Female 14
39, Federal-gov, Male 23
22, Self-emp-inc, Male 5
45, Self-emp-not-inc, Female 7
72, Private, Female 13
33, Federal-gov, Male 12
43, Federal-gov, Male 26
44, Self-emp-inc, Female 2
23, Self-emp-inc, Male 4
62, State-gov, Female 2
48, State-gov, Female 7
44, State-gov, Female 8
60, State-gov, Female 5
69, State-gov, Female 1
35, Private, Male 451
24, Self-emp-not-inc, Male 16
64, Federal-gov, Male 6
44, Self-emp-not-inc, Female 10
21, Without-pay, Male 1
38, State-gov, Male 18
50, Federal-gov, Male 18
66, Local-gov, Male 3
41, State-gov, Female 15
66, State-gov, Female 3
67, Private, Female 21
58, Local-gov, Male 18
65, State-gov, Female 1
17, Federal-gov, Female 1
52, Federal-gov, Female 10
60, Self-emp-not-inc, Female 6
70, Self-emp-not-inc, Male 13
59, Private, Female 58
39, Self-emp-not-inc, Female 9
47, Self-emp-not-inc, Female 17
46, Federal-gov, Male 28
24, Federal-gov, Female 7
54, Self-emp-not-inc, Female 7
47, Federal-gov, Male 25
49, Federal-gov, Male 15
76, Self-emp-inc, Male 1
77, Self-emp-inc, Male 3
58, State-gov, Female 6
28, Self-emp-inc, Female 1
54, Federal-gov, Male 10
40, State-gov, Male 18
61, Self-emp-not-inc, Female 8
57, Federal-gov, Male 16
67, Self-emp-inc, Female 3
35, State-gov, Male 16
46, Self-emp-not-inc, Female 6
55, State-gov, Female 6
52, State-gov, Female 6
51, Federal-gov, Male 19
66, Federal-gov, Female 1
41, Self-emp-inc, Male 31
63, Local-gov, Male 7
37, Self-emp-inc, Female 2
52, State-gov, Male 13
62, Self-emp-not-inc, Female 8
30, Local-gov, Female 18
51, Self-emp-not-inc, Female 12
82, Private, Male 2
52, Private, Male 211
53, Self-emp-inc, Male 18
22, Private, Male 326
52, Self-emp-not-inc, Male 38
36, State-gov, Male 19
22, State-gov, Female 17
47, Local-gov, Female 19
58, Self-emp-not-inc, Female 9
44, Federal-gov, Male 22
39, Federal-gov, Female 9
76, Local-gov, Female 2
42, State-gov, Male 24
46, State-gov, Male 22
67, Federal-gov, Male 2
57, Federal-gov, Female 4
67, Local-gov, Female 7
39, State-gov, Female 16
62, Without-pay, Male 1
76, Private, Male 9
29, Self-emp-not-inc, Male 49
24, Federal-gov, Male 6
21, Self-emp-inc, Male 1
29, Self-emp-not-inc, Female 3
39, Self-emp-inc, Female 3
43, Self-emp-inc, Male 33
61, Private, Female 44
29, Private, Female 215
18, Local-gov, Female 3
62, State-gov, Male 7
74, State-gov, Female 2
46, Self-emp-not-inc, Male 44
65, Without-pay, Female 1
26, State-gov, Male 16
70, Self-emp-inc, Female 1
74, Self-emp-not-inc, Male 11
46, Private, Male 334
71, Private, Female 15
29, Private, Male 392
59, Private, Male 158
45, Private, Female 152
66, Self-emp-not-inc, Female 1
81, Private, Female 2
72, Local-gov, Male 2
23, Private, Male 427
28, Self-emp-inc, Male 14
61, Self-emp-inc, Female 3
56, Federal-gov, Female 2
19, State-gov, Female 8
83, Private, Male 1
30, Local-gov, Male 35
53, Private, Male 198
68, Without-pay, Female 1
56, Local-gov, Male 14
65, Private, Female 35
45, Self-emp-inc, Male 30
36, Federal-gov, Female 8
33, Self-emp-not-inc, Female 7
67, State-gov, Male 4
31, Local-gov, Male 37
22, Federal-gov, Female 2
65, Local-gov, Male 7
38, Self-emp-not-inc, Male 62
62, Private, Female 49
68, Self-emp-not-inc, Male 16
68, Self-emp-inc, Female 2
38, Self-emp-inc, Male 22
46, Private, Female 148
25, Self-emp-not-inc, Female 8
35, Federal-gov, Female 7
20, Private, Female 264
55, Self-emp-inc, Male 12
49, Private, Female 111
17, Self-emp-not-inc, Female 1
42, Federal-gov, Female 14
50, Local-gov, Male 32
22, Self-emp-not-inc, Male 11
53, Self-emp-inc, Female 4
70, Self-emp-inc, Male 10
45, Private, Male 319
63, Federal-gov, Female 3
25, Federal-gov, Female 1
45, State-gov, Male 19
52, Private, Female 88
45, Local-gov, Female 30
29, State-gov, Male 21
47, Self-emp-inc, Male 30
49, Local-gov, Female 24
77, Private, Female 6
36, Self-emp-inc, Male 18
70, Local-gov, Female 3
43, Self-emp-not-inc, Male 56
53, Federal-gov, Female 6
19, Self-emp-not-inc, Male 7
20, State-gov, Male 12
31, Self-emp-not-inc, Male 39
55, State-gov, Male 12
21, Self-emp-not-inc, Female 2
65, Local-gov, Female 5
62, Local-gov, Male 9
75, Private, Male 7
49, Local-gov, Male 35
31, Self-emp-inc, Female 3
49, Self-emp-inc, Male 35
69, Local-gov, Female 1
61, Local-gov, Female 5
46, Local-gov, Male 41
39, State-gov, Male 17
62, Self-emp-inc, Female 1
59, Local-gov, Male 15
83, Self-emp-inc, Male 3
59, Self-emp-not-inc, Male 38
30, Self-emp-inc, Female 4
90, Private, Male 17
27, Local-gov, Female 17
54, Local-gov, Female 11
60, Federal-gov, Female 3
32, Federal-gov, Female 7
18, Federal-gov, Female 1
39, Private, Female 186
29, Local-gov, Female 16
23, State-gov, Male 19
17, Self-emp-inc, Male 6
58, Local-gov, Female 9
56, Local-gov, Female 10
50, Local-gov, Female 23
56, Self-emp-not-inc, Male 39
60, Private, Male 123
30, Private, Male 441
21, Local-gov, Male 4
52, Local-gov, Female 15
46, Self-emp-inc, Female 7
21, Local-gov, Female 5
51, Self-emp-inc, Male 27
58, State-gov, Male 12
55, Private, Female 77
34, Self-emp-inc, Male 20
71, Self-emp-not-inc, Male 7
74, Federal-gov, Female 1
46, Federal-gov, Female 12
25, Local-gov, Female 23
30, Private, Female 206
23, Local-gov, Female 19
68, Self-emp-inc, Male 2
41, Local-gov, Female 36
71, State-gov, Male 3
32, Self-emp-inc, Male 24
43, Local-gov, Female 30
40, Local-gov, Male 32
80, Self-emp-not-inc, Male 7
25, Self-emp-not-inc, Male 18
33, Private, Female 187
65, Self-emp-not-inc, Male 16
34, Local-gov, Female 20
40, Self-emp-not-inc, Male 55
36, Private, Female 198
37, Private, Male 439
67, Private, Male 30
32, Local-gov, Female 15
24, Local-gov, Male 18
38, Local-gov, Female 12
74, State-gov, Male 1
36, Local-gov, Female 25
